ID,manufacturer,series,model,chipset,variant,vram_gb,memory_type,bus_bit,product_code,notes,category
21,GIGABYTE,RTX 30,RTX 3050,GeForce,WINDFORCE OC V2,6,GDDR6,128,GV-N3050WF2OCV2,,PC
22,GIGABYTE,RTX 50,RTX 5070,GeForce,GAMING OC,12,GDDR7,192,GV-N5070GAMING,,PC
23,GIGABYTE,RTX 50,RTX 5070 Ti,GeForce,GAMING OC,16,GDDR7,256,GV-N507TGAMING,,PC
24,Gainward,RTX 50,RTX 5060,GeForce,Ghost,8,GDDR7,128,NE75060019P1,,PC
25,ASUS,RTX 40,RTX 4060,GeForce,Dual EVO OC,8,GDDR6,128,DUAL-RTX4060-O8G-EVO,,PC
26,Palit,RTX 50,RTX 5070 Ti,GeForce,GamingPro-S OC,16,GDDR7,256,NE7507TS19T2,,PC
27,MSI,RTX 30,RTX 3050,GeForce,VENTUS 2X XS OC,8,GDDR6,128,V809-4266R,,PC
28,GIGABYTE,RTX 50,RTX 5080,GeForce,GAMING OC,16,GDDR7,256,GV-N5080GAMING,,PC
29,Gainward,RTX 50,RTX 5080,GeForce,Phoenix,16,GDDR7,256,NE75080019T2,,PC
30,MSI,RTX 50,RTX 5070,GeForce,GAMING TRIO OC,12,GDDR7,192,,,PC
31,ASUS,RTX 50,RTX 5090,GeForce,ROG ASTRAL LC OC,32,GDDR7,512,,,PC
32,ASUS,RTX 50,RTX 5080,GeForce,TUF Gaming OC,16,GDDR7,256,,,PC
33,Gainward,RTX 50,RTX 5070 Ti,GeForce,Phoenix-S,16,GDDR7,256,NE7507T019T2,,PC
34,ASUS,RTX 50,RTX 5050,GeForce,Dual OC,8,GDDR6,128,DUAL-RTX5050-O8G,,PC
35,GIGABYTE,RTX 50,RTX 5060,GeForce,WINDFORCE OC,8,GDDR7,128,GV-N5060WF2OC,,PC
36,ASUS,RTX 40,RTX 4060 Ti,GeForce,Dual EVO OC,8,GDDR6,128,DUAL-RTX4060TI,,PC
37,PNY,RTX 50,RTX 5080,GeForce,Triple Fan OC,16,GDDR7,256,VCG508016TFXXPB1,,PC
38,GIGABYTE,RTX 50,RTX 5070 Ti,GeForce,EAGLE OC SFF,16,GDDR7,256,GV-N507TEAGLE,,PC
39,Palit,RTX 50,RTX 5060 Ti,GeForce,Infinity 3,16,GDDR7,128,NE7506T019T1,,PC
40,BIOSTAR,RTX 30,RTX 3080,GeForce,Extreme Gaming,10,GDDR6X,320,VN3806RMT3,,PC
41,Manli,RTX 30,RTX 3070,GeForce,LHR,8,GDDR6,256,M-NRTX3070,,PC
42,MSI,RTX 30,RTX 3060,GeForce,VENTUS 2X OC,12,GDDR6,192,V397-022R,,PC
43,MSI,RTX 40,RTX 4070 SUPER,GeForce,VENTUS 3X OC,12,GDDR6X,192,,,PC
44,GAINWARD,RTX 40,RTX 4070 SUPER,GeForce,Ghost OC,12,GDDR6X,192,,,PC
45,ASUS,RTX 40,RTX 4080,GeForce,TUF Gaming OC,16,GDDR6X,256,,,PC
46,ASUS,RTX 40,RTX 4070 SUPER,GeForce,DUAL OC White,12,GDDR6X,192,,,PC
47,PNY,RTX 40,RTX 4070 Ti,GeForce,,12,GDDR6X,192,,,PC
48,Gainward,RTX 40,RTX 4070 Ti,GeForce,Phoenix,12,GDDR6X,192,,,PC
49,ASUS,RTX 40,RTX 4070,GeForce,TUF Gaming OC,12,GDDR6X,192,GARANCIAS,,PC
50,ASUS,RTX 40,RTX 4080 SUPER,GeForce,ProArt,16,GDDR6X,256,,,PC
51,ASUS,RTX 30,RTX 3090,GeForce,TUF,24,GDDR6X,384,,,PC
52,GIGABYTE,RTX 20,RTX 2060,GeForce,,12,GDDR6,192,,,PC
53,Palit,GTX 10,GTX 1070 Ti,GeForce,Dual,8,GDDR5,256,,,PC
54,GIGABYTE,GTX 10,GTX 1070,GeForce,G1 Gaming,8,GDDR5,256,,,PC
55,GIGABYTE,GTX 10,GTX 1070,GeForce,WINDFORCE OC,8,GDDR5,256,,,PC
